classLevel,classMasterType,podcast,podcastId,audioFile,recordTime,longFormError,shortFormIntended,longFormStart,longFormEnd,shortFormError,shortFormStart,shortFormEnd,isMachineErrorFound,machineTranscriptForMatching,machineLongFormError,machineShortFormError,log_longFormError,log_longFormStart,log_longFormEnd,log_shortFormError,log_shortFormStart,log_shortFormEnd,log_classMasterType
Word,Word Addition,tft,tft10,tft10_2-12-08-15.wav,586.0,"It's like if I have to have sex to get you, to like /[neɪ]= to like stroke my hair while I'm ^naked and tell me I'm beautiful ...",∅,586.516,591.738,/[neɪ]=,588.857,588.497,True,"like, and to get, sex, i find that the best use of sex is to get a dude naked to spoon me. that's really it. it's like, if i have to have sex to get you to like stroke my hair while i'm naked and tell me i'm beautiful, i'll ride that bullet.","It's like, if I have to have sex to get you to like stroke my hair while I'm naked and tell me I'm beautiful,",,"It's like if I have to have sex to get you, to like /[neɪ]= to like stroke my hair while I'm ^naked and tell me I'm beautiful ...",586.516,591.738,/[neɪ]=,588.857,588.497,Word Addition
Word,Lexical Substitution,tft,tft11,tft11_2012-08-23.wav,510.0,"... being ^in a band is, uh people think, like I I was /in tour xxx I was on tour for years ...",on,509.992,514.454,/in,513.574,513.394,True,"oh, that is one of the biggest myths, at least i think in general, just as far as being in a band. people think, like i was on tour for years when i had a very serious, committed relationship. and there's always concern when you're away for that long, but the reality is that you play a show and when you finish playing, people leave the venue. and the people that don't leave are complete fucking crackheads. and you don't want anything to do with them. but people of sound mind that you would want to, if you were single and wanted to talk to someone, would leave. because they're ushered out of the venue because security makes them leave. so there's this myth that bands on the road are very you know, promiscuous, but i don't think that's entirely accurate. i mean, you if you can do it, but you have to put in a lot of fucking work.","being in a band. People think, like I was on tour for years",,"... being ^in a band is, uh people think, like I I was /in tour xxx I was on tour for years ...",509.992,514.454,/in,513.574,513.394,Lexical Substitution
Word,Lexical Substitution,tft,tft14,tft14_2012-09-13.wav,1819.0,"I mean, I think she did good work. I don't know why sh=  they invited ^her into /her family xxx into the family but, I mean, good maid.",the,1819.266,1825.671,/her,1821.988,1821.828,True,"i mean, i think she did good work. i don't know why they invited her into her family, but i mean, good maid. she seemed to mouth off quite a bit.","I mean, I think she did good work. I don't know why they invited her into her family, but I mean, good maid.",,"I mean, I think she did good work. I don't know why sh=  they invited ^her into /her family xxx into the family but, I mean, good maid.",1819.266,1825.671,/her,1821.988,1821.828,Lexical Substitution
Word,Lexical Substitution,tft,tft16,tft16_2012-09-27.wav,253.0,"I'm saying that because, I don't want, I don't want my /use= xxx my words to be ^used against, anyone.",words,253.534,260.075,/use=,257.355,257.215,True,"anyway, and i'm not saying that to prevent people from not liking me. i'm saying that because i don't want my words to be used against anyone, which i guess also is a selfish thing, but i don't want a fourteen-year-old to listen to this. i don't want fourteen-year-olds to listen to this, but i don't want a fourteen-year-old to listen to this and then go to their christian friend at school and be like, yeah, well, guess what? it all ends up being stupid because my hero aaron mcgathey said so. the narcissism in this intro is explosive! anyway, so here's my conversation with mr. john daly. i hope you enjoy it, and i hope you wrote down those disclaimers. i have one friend that i lived with, we were roommates in new york, like my second apartment in new york, after i lived with adrian grenier from entourage, no joke, seriously. i'm serious, nobody believes this, but my first real, actual, my first apartment in new york, i lived with adrian grenier and this guy vadim, that everyone knew in new york. that was after he did that, that was drew barrymore.","I'm saying that because I don't want my words to be used against anyone,",,"I'm saying that because, I don't want, I don't want my /use= xxx my words to be ^used against, anyone.",253.534,260.075,/use=,257.355,257.215,Lexical Substitution
Word,Lexical Substitution,tft,tft22,tft22_2012-11-16.wav,2607.0,"I would take you to The Grove, and we would /look xxx watch people.",watch,2607.983,2611.086,/look,2610.065,2609.785,True,i should have asked you what test would you take me to. i would take you to the grove and we would watch people.,I would take you to The Grove and we would watch people.,,"I would take you to The Grove, and we would /look xxx watch people.",2607.983,2611.086,/look,2610.065,2609.785,Lexical Substitution
Word,Lexical Substitution,tft,tft28,tft28_2013-01-03.wav,1377.0,"…but the /th[ər]= the three day thing, is that it is an appetite.",three,1377.712,1381.136,/th[ər]=,1378.093,1377.852,True,confidence completely supersedes all of that. but the three day thing. is that it is an appetite.,But the three day thing. is that it is an appetite.,,"…but the /th[ər]= the three day thing, is that it is an appetite.",1377.712,1381.136,/th[ər]=,1378.093,1377.852,Lexical Substitution
Word,Lexical Substitution,tft,tft28,tft28_2013-01-03.wav,3645.0,Yeah I I can only remember when like a /per= a penis like really did something to me like negative. That that sounds awful.,penis,3645.23,3653.118,/per=,3646.831,3646.811,True,"yeah, yeah, i yeah, i i can only remember like when i own, yeah, i can only remember when like a penis like really did something to me like negative that that sounds awful i once had a boyfriend who had a abnormally large penis and it was very uncomfortable having sex so i can remember that.","yeah, I can only remember when like a penis like really did something to me like negative that that sounds awful",,Yeah I I can only remember when like a /per= a penis like really did something to me like negative. That that sounds awful.,3645.23,3653.118,/per=,3646.831,3646.811,Lexical Substitution
Word,Lexical Substitution,tft,tft28,tft28_2013-01-03.wav,4040.0,"I made, the xxx let's say the creator of the universe, and uh a /man xxx a a man. A god, who wants me to love and be generous and and be an ambassador for peace …",god,4040.901,4051.449,/man,4044.564,4044.424,True,"and i turned him into a jerk-off lifeguard. i made, let's say, the creator of the universe a man, a god, who wants me to love, and be generous, and be an ambassador for peace, and patience, and kindness, and goodness, and loveliness.","I made, let's say, the creator of the universe a man, a god, who wants me to love, and be generous, and be an ambassador for peace,",,"I made, the xxx let's say the creator of the universe, and uh a /man xxx a a man. A god, who wants me to love and be generous and and be an ambassador for peace …",4040.901,4051.449,/man,4044.564,4044.424,Lexical Substitution
Word,Word Addition,tft,tft40,tft40_2013-04-12.wav,2475.0,"Well I had one with /a hor=# with hormones and it made me, in= I had to get it removed, it was insane.",∅,2475.467,2479.211,/a hor=#,2475.988,2475.868,True,"do you have one of those? no. oh, i had one with hormones and it made me... i had to get it removed. it was insane. i can't take birth control. it makes me crazy. well, you should look into the copper iud because it doesn't have hormones in it. oh. and you can party all night. no babies party all night. no babies parties.",I had one with hormones and it made me... I had to get it removed. It was insane.,,"Well I had one with /a hor=# with hormones and it made me, in= I had to get it removed, it was insane.",2475.467,2479.211,/a hor=#,2475.988,2475.868,Word Addition
Word,Word Addition,tft,tft50,tft50_2013-09-20.wav,3093.0,I don't wanna mention her name but here's something weird and it's gonna /be sound xxx this is going to make me sound horrible.,∅,3094.605,3099.148,/be,3098.208,3097.167,True,"i don't want to mention her name, but here's something weird and it's going to make me sound horrible. but i had never- you tried to play her like buford. right. this is going to be hard to say, but she could do this thing where she could tie the stem of a cherry into a knot with just her mouth. right, right. have you ever met anyone who could do that? yes. really? yeah. hey, dustin, hand me a cherry. so, but then, i'm going to say not good with oral sex.","I don't want to mention her name, but here's something weird and it's going to make me sound horrible.",,I don't wanna mention her name but here's something weird and it's gonna /be sound xxx this is going to make me sound horrible.,3094.605,3099.148,/be,3098.208,3097.167,Word Addition
Word,Lexical Substitution,tft,tft21,tft21_2012-11-08.wav,3707.0,"And I like her /[b]= I like her ass. Uh, you know, what can I say?",ass,3707.127,3710.909,/[b]=,3708.328,3707.247,True,"and i like her ass. you know, what can i say? check it out. well, thank you so much for being on the podcast. you're welcome. alright everybody, that was the interview with wayne and mimi. if you're still listening, if i was you, right after this interview, i'd go home immediately and start writing, start drawing, start doing whatever it is you do because wayne and mimi really made me feel very excited about working very hard. please go see beauty is embarrassing. it is so good. and i met neil berkley, really nice guy.","And I like her ass. You know, what can I say?",,"And I like her /[b]= I like her ass. Uh, you know, what can I say?",3707.127,3710.909,/[b]=,3708.328,3707.247,Lexical Substitution
Word,Lexical Substitution,tft,tft27,tft27_2012-12-20.wav,4739.0,"I always like, remember when you would write you write like, blah blah blah last name, which I still do, uh but secretly on my /[bʊ]= on my notes section of my iPhone.",notes,4739.351,4747.677,/[bʊ]=,4746.496,4745.816,True,"i always, like, you would write, you write, like, blah, blah, blah, last name, which i still do, secretly, on my notes section of my iphone. i'm like, it's even... that is the baddest.","I always, like, you would write, you write, like, blah, blah, blah, last name, which I still do, secretly, on my notes section of my iPhone.",,"I always like, remember when you would write you write like, blah blah blah last name, which I still do, uh but secretly on my /[bʊ]= on my notes section of my iPhone.",4739.351,4747.677,/[bʊ]=,4746.496,4745.816,Lexical Substitution
Word,Lexical Substitution,tft,tft29,tft29_2013-01-12.wav,4555.0,"A: It's like the uh, who’s the man who /[neɪ]=  who loves bananas? B: Neem Karoli Baba.",loves,4554.941,4559.564,/[neɪ]=,4557.022,4556.542,True,"it makes me feel, it's like the, who's the man who loves bananas? neem karoli baba. yeah, neem karoli baba. dan's kind of like neem karoli baba, like my neem karoli baba. he is a sweetheart, man. he is a sweetheart. that guy's so cool. i only got to hang out with him once on my podcast, but what a fucking great guy, man. i was so happy he was going to be on your podcast when we were having that fight. i called him because i can't just let things sit, even though whenever we have a fight, we wait a little bit of time. it's so much easier when you're not angry, like you were saying.","it's like the, who's the man who loves bananas? Neem Karoli Baba.",,"A: It's like the uh, who’s the man who /[neɪ]=  who loves bananas? B: Neem Karoli Baba.",4554.941,4559.564,/[neɪ]=,4557.022,4556.542,Lexical Substitution
Word,Lexical Substitution,tft,tft44,tft44_2013-07-01.wav,1978.0,"… women, settle down when they fall in love and men se[l]= settle down when they're /married xxx er when they're /married. When they're, uh ready.",ready,1978.345,1985.231,/married,1982.529,1982.088,True,"i can't remember who said this to me, but i think it's very true that women settle down when they fall in love and men settle down when they're married or when they're married, when they're ready. in los angeles, i mean, i think men everywhere, like in wisconsin, like maybe the thing is like, well, once i'm assistant manager at kmart, then i'll feel like i'm secure enough to settle down.","women settle down when they fall in love and men settle down when they're married or when they're married, when they're ready."," married or when they're married, wh","… women, settle down when they fall in love and men se[l]= settle down when they're /married xxx er when they're /married. When they're, uh ready.",1978.345,1985.231,/married,1982.529,1982.088,Lexical Substitution
